SRR21715467,SFK026
SRR21715479,SFK022
SRR21715478,SFK205
SRR21715477,SFK206
SRR21715476,SFK207
SRR21715484,SFK202
SRR21715483,SFK203
SRR21715482,SFK204
SRR21715480,SFK205
SRR21715481,SFK205
SRR21715489,SFK197
SRR21715488,SFK198
SRR21715487,SFK199
SRR21715486,SFK200
SRR21715485,SFK201
SRR21715491,SFK003
SRR21715490,SFK021
SRR21715494,SFK194
SRR21715493,SFK195
SRR21715492,SFK196
SRR21715499,SFK189
SRR21715498,SFK190
SRR21715497,SFK191
SRR21715496,SFK192
SRR21715495,SFK193
SRR21715502,SFK020
SRR21715504,SFK185
SRR21715503,SFK186
SRR21715501,SFK187
SRR21715500,SFK188
SRR21715509,SFK097
SRR21715508,SFK098
SRR21715507,SFK182
SRR21715506,SFK183
SRR21715505,SFK184
SRR21715514,SFK092
SRR21715513,SFK093
SRR21715512,SFK094
SRR21715511,SFK095
SRR21715510,SFK096
SRR21715518,SFK010
SRR21715519,SFK088
SRR21715517,SFK089
SRR21715516,SFK090
SRR21715515,SFK091
SRR21715524,SFK083
SRR21715523,SFK084
SRR21715522,SFK085
SRR21715521,SFK086
SRR21715520,SFK087
SRR21715529,SFK009
SRR21715528,SFK079
SRR21715527,SFK080
SRR21715526,SFK081
SRR21715525,SFK082
SRR21715534,SFK074
SRR21715533,SFK075
SRR21715532,SFK076
SRR21715531,SFK077
SRR21715530,SFK078
SRR21715536,SFK072
SRR21715535,SFK073
SRR21715545,SFK036
SRR21715556,SFK035
SRR21715567,SFK034
SRR21715569,SFK181
SRR21715574,SFK019
SRR21715573,SFK177
SRR21715572,SFK178
SRR21715571,SFK179
SRR21715570,SFK180
SRR21715579,SFK172
SRR21715578,SFK173
SRR21715577,SFK174
SRR21715576,SFK175
SRR21715575,SFK176
SRR21715584,SFK167
SRR21715583,SFK168
SRR21715582,SFK169
SRR21715581,SFK170
SRR21715580,SFK171
SRR21715585,SFK018
SRR21715589,SFK163
SRR21715588,SFK164
SRR21715587,SFK165
SRR21715586,SFK166
SRR21715594,SFK160
SRR21715593,SFK161
SRR21715590,SFK162
SRR21715591,SFK162
SRR21715592,SFK162
SRR21715596,SFK017
SRR21715599,SFK156
SRR21715598,SFK157
SRR21715597,SFK158
SRR21715595,SFK159
SRR21715604,SFK008
SRR21715603,SFK069
SRR21715602,SFK070
SRR21715601,SFK071
SRR21715600,SFK155
SRR21715607,SFK066
SRR21715608,SFK066
SRR21715609,SFK066
SRR21715606,SFK067
SRR21715605,SFK068
SRR21715614,SFK061
SRR21715613,SFK062
SRR21715612,SFK063
SRR21715611,SFK064
SRR21715610,SFK065
SRR21715615,SFK007
SRR21715619,SFK057
SRR21715618,SFK058
SRR21715617,SFK059
SRR21715616,SFK060
SRR21715624,SFK052
SRR21715623,SFK053
SRR21715622,SFK054
SRR21715621,SFK055
SRR21715620,SFK056
SRR21715626,SFK006
SRR21715629,SFK048
SRR21715628,SFK049
SRR21715627,SFK050
SRR21715625,SFK051
SRR21715631,SFK046
SRR21715630,SFK047
SRR21715638,SFK042
SRR21715649,SFK041
SRR21715650,SFK005
SRR21715661,SFK040
SRR21715674,SFK033
SRR21715685,SFK032
SRR21715699,SFK025
SRR21715696,SFK031
SRR21715710,SFK024
SRR21715719,SFK216
SRR21715718,SFK217
SRR21715717,SFK218
SRR21715716,SFK219
SRR21715715,SFK220
SRR21715721,SFK023
SRR21715724,SFK212
SRR21715723,SFK213
SRR21715722,SFK214
SRR21715720,SFK215
SRR21715729,SFK154
SRR21715728,SFK208
SRR21715727,SFK209
SRR21715726,SFK210
SRR21715725,SFK211
SRR21715734,SFK149
SRR21715733,SFK150
SRR21715732,SFK151
SRR21715731,SFK152
SRR21715730,SFK153
SRR21715735,SFK016
SRR21715739,SFK145
SRR21715738,SFK146
SRR21715737,SFK147
SRR21715736,SFK148
SRR21715744,SFK140
SRR21715743,SFK141
SRR21715742,SFK142
SRR21715741,SFK143
SRR21715740,SFK144
SRR21715746,SFK015
SRR21715749,SFK136
SRR21715748,SFK137
SRR21715747,SFK138
SRR21715745,SFK139
SRR21715754,SFK131
SRR21715753,SFK132
SRR21715752,SFK133
SRR21715751,SFK134
SRR21715750,SFK135
SRR21715757,SFK014
SRR21715759,SFK127
SRR21715758,SFK128
SRR21715756,SFK129
SRR21715755,SFK130
SRR21715764,SFK122
SRR21715763,SFK123
SRR21715762,SFK124
SRR21715761,SFK125
SRR21715760,SFK126
SRR21715768,SFK013
SRR21715769,SFK118
SRR21715767,SFK119
SRR21715766,SFK120
SRR21715765,SFK121
SRR21715774,SFK113
SRR21715773,SFK114
SRR21715772,SFK115
SRR21715771,SFK116
SRR21715770,SFK117
SRR21715779,SFK012
SRR21715778,SFK109
SRR21715777,SFK110
SRR21715776,SFK111
SRR21715775,SFK112
SRR21715784,SFK104
SRR21715783,SFK105
SRR21715782,SFK106
SRR21715781,SFK107
SRR21715780,SFK108
SRR21715789,SFK099
SRR21715788,SFK100
SRR21715787,SFK101
SRR21715786,SFK102
SRR21715785,SFK103
SRR21715792,SFK001
SRR21715791,SFK002
SRR21715790,SFK011
SRR21715355,SFK039
SRR21715366,SFK038
SRR21715377,SFK037
SRR21715380,SFK004
SRR21715391,SFK030
SRR21715402,SFK029
SRR21715416,SFK045
SRR21715427,SFK044
SRR21715438,SFK043
SRR21715445,SFK028
SRR21715456,SFK027
