SRR21715469,SFK023
SRR21715468,SFK024
SRR21715466,SFK025
SRR21715465,SFK026
SRR21715474,SFK018
SRR21715473,SFK019
SRR21715472,SFK020
SRR21715471,SFK021
SRR21715470,SFK022
SRR21715475,SFK017
SRR21715539,SFK130
SRR21715538,SFK132
SRR21715537,SFK133
SRR21715544,SFK125
SRR21715543,SFK126
SRR21715542,SFK127
SRR21715541,SFK128
SRR21715540,SFK129
SRR21715549,SFK121
SRR21715548,SFK122
SRR21715547,SFK123
SRR21715546,SFK124
SRR21715554,SFK116
SRR21715553,SFK117
SRR21715552,SFK118
SRR21715551,SFK119
SRR21715550,SFK120
SRR21715559,SFK112
SRR21715558,SFK113
SRR21715557,SFK114
SRR21715555,SFK115
SRR21715564,SFK107
SRR21715563,SFK108
SRR21715562,SFK109
SRR21715561,SFK110
SRR21715560,SFK111
SRR21715568,SFK104
SRR21715566,SFK105
SRR21715565,SFK106
SRR21715634,SFK189
SRR21715633,SFK190
SRR21715632,SFK220
SRR21715639,SFK185
SRR21715637,SFK186
SRR21715636,SFK187
SRR21715635,SFK188
SRR21715644,SFK180
SRR21715643,SFK181
SRR21715642,SFK182
SRR21715641,SFK183
SRR21715640,SFK184
SRR21715648,SFK176
SRR21715647,SFK177
SRR21715646,SFK178
SRR21715645,SFK179
SRR21715654,SFK172
SRR21715653,SFK173
SRR21715652,SFK174
SRR21715651,SFK175
SRR21715659,SFK167
SRR21715658,SFK168
SRR21715657,SFK169
SRR21715656,SFK170
SRR21715655,SFK171
SRR21715664,SFK163
SRR21715663,SFK164
SRR21715662,SFK165
SRR21715660,SFK166
SRR21715669,SFK099
SRR21715668,SFK100
SRR21715667,SFK101
SRR21715666,SFK102
SRR21715665,SFK103
SRR21715673,SFK095
SRR21715672,SFK096
SRR21715671,SFK097
SRR21715670,SFK098
SRR21715679,SFK090
SRR21715678,SFK091
SRR21715677,SFK092
SRR21715676,SFK093
SRR21715675,SFK094
SRR21715684,SFK085
SRR21715683,SFK086
SRR21715682,SFK087
SRR21715681,SFK088
SRR21715680,SFK089
SRR21715689,SFK081
SRR21715688,SFK082
SRR21715687,SFK083
SRR21715686,SFK084
SRR21715694,SFK076
SRR21715693,SFK077
SRR21715692,SFK078
SRR21715691,SFK079
SRR21715690,SFK080
SRR21715698,SFK015
SRR21715697,SFK016
SRR21715695,SFK075
SRR21715704,SFK010
SRR21715703,SFK011
SRR21715702,SFK012
SRR21715701,SFK013
SRR21715700,SFK014
SRR21715709,SFK005
SRR21715708,SFK006
SRR21715707,SFK007
SRR21715706,SFK008
SRR21715705,SFK009
SRR21715714,SFK001
SRR21715713,SFK002
SRR21715712,SFK003
SRR21715711,SFK004
SRR21715349,SFK161
SRR21715348,SFK162
SRR21715354,SFK156
SRR21715353,SFK157
SRR21715352,SFK158
SRR21715351,SFK159
SRR21715350,SFK160
SRR21715359,SFK152
SRR21715358,SFK153
SRR21715357,SFK154
SRR21715356,SFK155
SRR21715364,SFK147
SRR21715363,SFK148
SRR21715362,SFK149
SRR21715361,SFK150
SRR21715360,SFK151
SRR21715369,SFK143
SRR21715368,SFK144
SRR21715367,SFK145
SRR21715365,SFK146
SRR21715374,SFK138
SRR21715373,SFK139
SRR21715372,SFK140
SRR21715371,SFK141
SRR21715370,SFK142
SRR21715379,SFK134
SRR21715378,SFK135
SRR21715376,SFK136
SRR21715375,SFK137
SRR21715384,SFK071
SRR21715383,SFK072
SRR21715382,SFK073
SRR21715381,SFK074
SRR21715389,SFK066
SRR21715388,SFK067
SRR21715387,SFK068
SRR21715386,SFK069
SRR21715385,SFK070
SRR21715394,SFK062
SRR21715393,SFK063
SRR21715392,SFK064
SRR21715390,SFK065
SRR21715399,SFK057
SRR21715398,SFK058
SRR21715397,SFK059
SRR21715396,SFK060
SRR21715395,SFK061
SRR21715404,SFK053
SRR21715403,SFK054
SRR21715401,SFK055
SRR21715400,SFK056
SRR21715409,SFK048
SRR21715408,SFK049
SRR21715407,SFK050
SRR21715406,SFK051
SRR21715405,SFK052
SRR21715411,SFK046
SRR21715410,SFK047
SRR21715414,SFK217
SRR21715413,SFK218
SRR21715412,SFK219
SRR21715419,SFK213
SRR21715418,SFK214
SRR21715417,SFK215
SRR21715415,SFK216
SRR21715424,SFK208
SRR21715423,SFK209
SRR21715422,SFK210
SRR21715421,SFK211
SRR21715420,SFK212
SRR21715429,SFK204
SRR21715428,SFK205
SRR21715426,SFK206
SRR21715425,SFK207
SRR21715434,SFK199
SRR21715433,SFK200
SRR21715432,SFK201
SRR21715431,SFK202
SRR21715430,SFK203
SRR21715439,SFK195
SRR21715437,SFK196
SRR21715436,SFK197
SRR21715435,SFK198
SRR21715444,SFK045
SRR21715443,SFK191
SRR21715442,SFK192
SRR21715441,SFK193
SRR21715440,SFK194
SRR21715449,SFK041
SRR21715448,SFK042
SRR21715447,SFK043
SRR21715446,SFK044
SRR21715454,SFK036
SRR21715453,SFK037
SRR21715452,SFK038
SRR21715451,SFK039
SRR21715450,SFK040
SRR21715459,SFK032
SRR21715458,SFK033
SRR21715457,SFK034
SRR21715455,SFK035
SRR21715464,SFK027
SRR21715463,SFK028
SRR21715462,SFK029
SRR21715461,SFK030
SRR21715460,SFK031
