Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR21715469,2022-09-26 19:14:26,2022-09-26 18:25:08,25407,12703500,25407,500,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715469/SRR21715469.lite.1,SRX17712879,=A250&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243193,SAMN31025583,simple,504342,Stephanocoenia intersepta,SFK023,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,13D7B7451C60EEC2C21D3F5DBA724B6B,69D125C3CF3D0CA014E26C1FBBAA693E
SRR21715468,2022-09-26 19:14:26,2022-09-26 18:25:21,28473,14236500,28473,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715468/SRR21715468.lite.1,SRX17712880,=A251&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243196,SAMN31025584,simple,504342,Stephanocoenia intersepta,SFK024,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,8733DC87AD5AC0C9390770ADB51B2D4E,366A0215023FB0C7E11985DF24B59FAE
SRR21715466,2022-09-26 19:14:26,2022-09-26 18:25:05,28332,14166000,28332,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715466/SRR21715466.lite.1,SRX17712882,=A252&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243203,SAMN31025585,simple,504342,Stephanocoenia intersepta,SFK025,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,3AAA124621495003353991FCF087955E,A3F2AA511CFEC8D7374607703D5FCF04
SRR21715467,2022-09-26 19:14:26,2022-09-26 18:25:26,1640618,59062248,0,36,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715467/SRR21715467.lite.1,SRX17712881,SFK026 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243262,SAMN31025586,simple,504342,Stephanocoenia intersepta,SFK026,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,A802B019A11DCB8FE2FBA5FA051E365C,267CE9F27260CE220B120ACE78EC00D8
SRR21715465,2022-09-26 19:14:26,2022-09-26 18:25:08,28629,14314500,28629,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715465/SRR21715465.lite.1,SRX17712883,=A253&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243262,SAMN31025586,simple,504342,Stephanocoenia intersepta,SFK026,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,9DC0FFC54E974723BDF216B78FBD0667,3A80D13580C4F91C6A48DFBC2FF79E68
SRR21715474,2022-09-26 19:14:26,2022-09-26 18:25:07,31295,15647500,31295,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715474/SRR21715474.lite.1,SRX17712874,=A245&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243257,SAMN31025578,simple,504342,Stephanocoenia intersepta,SFK018,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,A7FE6F8DE766B7136875E5C0795861C7,B2998EA19D2D24D901CE404CB4C4184E
SRR21715473,2022-09-26 19:14:26,2022-09-26 18:24:57,15536,7768000,15536,500,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715473/SRR21715473.lite.1,SRX17712875,=A246&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243258,SAMN31025579,simple,504342,Stephanocoenia intersepta,SFK019,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,3A7BA29308FE05390EADAEF69F29EE11,84EF309647F14C238FF30AA1518C9E9F
SRR21715472,2022-09-26 19:14:26,2022-09-26 18:25:16,33407,16703500,33407,500,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715472/SRR21715472.lite.1,SRX17712876,=A247&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243259,SAMN31025580,simple,504342,Stephanocoenia intersepta,SFK020,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,FE6E68AB82DB4F79AEB59DC6DC2CE6A8,D23629905703A16BD93759F7C1EA2733
SRR21715471,2022-09-26 19:14:26,2022-09-26 18:25:02,27950,13975000,27950,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715471/SRR21715471.lite.1,SRX17712877,=A248&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243260,SAMN31025581,simple,504342,Stephanocoenia intersepta,SFK021,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,AD06042CD8FA6663EA1FB6B0A2E7D376,9C4B672FDDF0738ED416F438BA9D8CD0
SRR21715470,2022-09-26 19:14:26,2022-09-26 18:25:04,40235,20117500,40235,500,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715470/SRR21715470.lite.1,SRX17712878,=A249&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243261,SAMN31025582,simple,504342,Stephanocoenia intersepta,SFK022,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,ECEAA9C4D9EB23B63CF1CFC584A69F22,4A27C9FE59D2E4F9A814C2EF03D432CD
