k	D	hetero	variants	snps	indels
17	1	0.1	0.5	219	0
17	1	0.1	0.7	519	2
17	1	0.1	0.8	591	4
17	1	0.1	0.9	652	4
17	1	0.2	0.5	5303	70
17	1	0.2	0.7	8683	102
17	1	0.2	0.8	9112	107
17	1	0.2	0.9	9620	112
17	1	0.3	0.5	10394	193
17	1	0.3	0.7	14853	256
17	1	0.3	0.8	15438	264
17	1	0.3	0.9	16073	272
17	1	0.4	0.5	15682	380
17	1	0.4	0.7	20319	456
17	1	0.4	0.8	20827	467
17	1	0.4	0.9	21411	475
17	3	0.1	0.5	247	4
17	3	0.1	0.7	542	7
17	3	0.1	0.8	614	7
17	3	0.1	0.9	672	7
17	3	0.2	0.5	5684	200
17	3	0.2	0.7	9126	279
17	3	0.2	0.8	9561	290
17	3	0.2	0.9	10192	300
17	3	0.3	0.5	11160	519
17	3	0.3	0.7	15837	721
17	3	0.3	0.8	16463	734
17	3	0.3	0.9	17230	766
17	3	0.4	0.5	16701	1000
17	3	0.4	0.7	21667	1337
17	3	0.4	0.8	22236	1361
17	3	0.4	0.9	22924	1403
17	5	0.1	0.5	251	3
17	5	0.1	0.7	565	4
17	5	0.1	0.8	629	4
17	5	0.1	0.9	691	5
17	5	0.2	0.5	5940	290
17	5	0.2	0.7	9338	461
17	5	0.2	0.8	9833	489
17	5	0.2	0.9	10331	519
17	5	0.3	0.5	11483	734
17	5	0.3	0.7	16084	1114
17	5	0.3	0.8	16763	1164
17	5	0.3	0.9	17466	1217
17	5	0.4	0.5	16959	1431
17	5	0.4	0.7	21806	2037
17	5	0.4	0.8	22446	2125
17	5	0.4	0.9	23015	2168
21	1	0.1	0.5	2161	0
21	1	0.1	0.7	4006	0
21	1	0.1	0.8	4158	0
21	1	0.1	0.9	4312	0
21	1	0.2	0.5	11062	2
21	1	0.2	0.7	15896	4
21	1	0.2	0.8	16267	5
21	1	0.2	0.9	16548	5
21	1	0.3	0.5	17179	9
21	1	0.3	0.7	21792	13
21	1	0.3	0.8	22115	14
21	1	0.3	0.9	22401	14
21	1	0.4	0.5	21931	15
21	1	0.4	0.7	25722	19
21	1	0.4	0.8	25981	19
21	1	0.4	0.9	26169	19
21	3	0.1	0.5	2095	0
21	3	0.1	0.7	4024	0
21	3	0.1	0.8	4168	0
21	3	0.1	0.9	4315	0
21	3	0.2	0.5	11019	7
21	3	0.2	0.7	15959	9
21	3	0.2	0.8	16307	11
21	3	0.2	0.9	16612	11
21	3	0.3	0.5	17242	19
21	3	0.3	0.7	21927	25
21	3	0.3	0.8	22251	27
21	3	0.3	0.9	22530	27
21	3	0.4	0.5	21983	27
21	3	0.4	0.7	25845	33
21	3	0.4	0.8	26079	34
21	3	0.4	0.9	26298	34
21	5	0.1	0.5	2132	1
21	5	0.1	0.7	4012	6
21	5	0.1	0.8	4175	7
21	5	0.1	0.9	4298	7
21	5	0.2	0.5	11064	18
21	5	0.2	0.7	15966	29
21	5	0.2	0.8	16375	30
21	5	0.2	0.9	16600	30
21	5	0.3	0.5	17237	39
21	5	0.3	0.7	21903	48
21	5	0.3	0.8	22244	50
21	5	0.3	0.9	22449	50
21	5	0.4	0.5	22075	48
21	5	0.4	0.7	25807	56
21	5	0.4	0.8	26053	57
21	5	0.4	0.9	26215	57
25	1	0.1	0.5	2608	0
25	1	0.1	0.7	4582	1
25	1	0.1	0.8	4770	1
25	1	0.1	0.9	4927	1
25	1	0.2	0.5	10923	11
25	1	0.2	0.7	15288	18
25	1	0.2	0.8	15743	19
25	1	0.2	0.9	16111	19
25	1	0.3	0.5	16533	19
25	1	0.3	0.7	20651	30
25	1	0.3	0.8	21012	31
25	1	0.3	0.9	21272	31
25	1	0.4	0.5	20917	24
25	1	0.4	0.7	24070	35
25	1	0.4	0.8	24392	36
25	1	0.4	0.9	24561	36
25	3	0.1	0.5	2599	0
25	3	0.1	0.7	4559	3
25	3	0.1	0.8	4734	3
25	3	0.1	0.9	4904	3
25	3	0.2	0.5	10942	15
25	3	0.2	0.7	15264	25
25	3	0.2	0.8	15710	25
25	3	0.2	0.9	16050	26
25	3	0.3	0.5	16531	22
25	3	0.3	0.7	20638	38
25	3	0.3	0.8	21018	40
25	3	0.3	0.9	21263	40
25	3	0.4	0.5	20870	32
25	3	0.4	0.7	24060	48
25	3	0.4	0.8	24349	50
25	3	0.4	0.9	24544	50
25	5	0.1	0.5	2595	0
25	5	0.1	0.7	4575	2
25	5	0.1	0.8	4741	3
25	5	0.1	0.9	4909	3
25	5	0.2	0.5	10906	18
25	5	0.2	0.7	15314	31
25	5	0.2	0.8	15770	32
25	5	0.2	0.9	16163	34
25	5	0.3	0.5	16552	30
25	5	0.3	0.7	20698	50
25	5	0.3	0.8	21075	51
25	5	0.3	0.9	21288	51
25	5	0.4	0.5	20949	40
25	5	0.4	0.7	24140	62
25	5	0.4	0.8	24434	63
25	5	0.4	0.9	24615	63
