file	k	D	all_variants	snps	indels
original	17	1	1515098	1511843	3255
original	17	3	1521413	1511842	9355
original	17	5	1528828	1511847	16763
original	21	1	414856	414743	113
original	21	3	414978	414734	217
original	21	5	415135	414716	392
original	25	1	333904	333780	124
original	25	3	333968	333779	163
original	25	5	334048	333780	242
csr	17	1	111410	109446	1964
csr	17	3	124641	118808	5747
csr	17	5	130407	121426	8894
csr	21	1	163502	163438	64
csr	21	3	163361	163235	109
csr	21	5	163378	163185	174
csr	25	1	172743	172662	81
csr	25	3	172753	172625	115
csr	25	5	172882	172692	176
cmismaf	17	1	34672	33444	1228
cmismaf	17	3	39561	35596	3905
cmismaf	17	5	42442	35972	6409
cmismaf	21	1	33219	33191	28
cmismaf	21	3	33289	33230	51
cmismaf	21	5	33247	33155	83
cmismaf	25	1	29450	29397	53
cmismaf	25	3	29507	29423	76
cmismaf	25	5	29553	29444	101
